# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
15.409        -2.061        -1.776    0.818    9.8    0.585    0.635    0.505    2    0    29
14.315        -1.080        -0.795    -0.286    0.8    0.046    2.160    0.563    2    0    49
15.057        -1.916        -1.632    1.421    27.9    1.661    1.015    0.088    3    0    63
14.166        -1.561        -0.991    1.299    26.4    1.809    1.983    0.353    3    1    89
15.494        -2.197        -1.627    0.356    3.9    0.269    2.168    0.819    2    1    93
11.434        -1.814        -1.115    1.399    31.4    4.090    1.257    0.335    3    2    137
15.142        -2.344        -1.482    1.969    81.7    3.873    2.136    0.670    3    3    13
12.905        -1.643        -0.781    -0.079    1.2    0.059    1.576    0.501    2    3    35
12.495        -1.506        -0.644    1.772    66.8    3.167    0.598    0.137    3    3    135
13.612        -1.873        -1.011    1.809    79.2    3.756    0.856    0.249    3    3    150
13.573        -1.860        -0.999    1.558    67.5    3.200    2.907    0.912    3    3    155
15.281        -2.385        -1.523    1.300    15.3    0.728    2.416    0.160    3    3    174
15.166        -1.048        -0.494    -0.148    0.8    0.098    1.863    0.213    2    4    119
13.935        -1.705        -1.151    0.585    4.6    0.528    1.746    0.212    2    4    185
14.555        -2.378        -1.259    1.991    149.7    23.310    1.784    0.717    2    5    88
12.288        -1.423        -0.303    1.608    60.1    9.364    1.660    0.610    3    5    98
13.670        -2.124        -1.005    -0.254    0.8    0.125    1.953    0.454    2    5    108
13.009        -1.879        -0.760    -0.029    1.3    0.207    1.670    0.504    2    5    117
12.299        -1.435        -0.316    2.025    149.5    23.293    1.529    0.431    2    5    180
14.364        -1.580        -1.252    -0.838    0.1    0.007    1.034    0.048    2    7    30
14.177        -1.102        -0.775    1.712    63.1    3.983    0.875    0.305    3    7    102
14.481        -1.670        -1.343    1.945    97.8    6.178    2.737    0.115    3    7    148
10.614        -1.437        -1.136    1.660    52.6    5.412    1.953    0.168    3    8    16
10.451        -1.381        -1.080    1.104    13.8    1.416    1.069    0.129    3    8    101
10.313        -1.333        -1.032    -0.617    0.4    0.036    1.180    0.472    2    8    124
11.606        -1.768        -1.467    1.279    24.2    2.487    1.958    0.289    3    8    164
9.522        -1.051        -0.750    1.001    11.8    1.215    2.068    0.210    3    8    172
