# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
16.675        -2.448        -2.163    1.738    76.8    4.570    1.871    0.418    1    0    6
18.561        -2.863        -2.579    0.668    5.2    0.310    1.377    0.158    0    0    44
18.193        -2.791        -2.506    1.955    103.6    6.167    2.299    0.162    1    0    48
17.199        -2.576        -2.291    0.836    9.3    0.552    0.759    0.593    0    0    51
18.902        -2.928        -2.643    1.348    27.4    1.633    0.539    0.239    0    0    70
18.377        -2.827        -2.543    2.068    136.5    8.127    2.364    0.273    1    0    108
18.091        -2.770        -2.485    0.236    2.4    0.141    1.450    0.396    0    0    119
18.353        -2.823        -2.538    2.004    155.1    9.232    1.771    0.551    1    0    127
19.018        -2.949        -2.664    1.613    45.8    2.729    0.968    0.140    0    0    155
18.238        -2.800        -2.515    1.723    57.9    3.448    2.185    0.106    1    0    170
18.914        -2.930        -2.645    1.532    49.3    2.933    0.693    0.466    0    0    181
17.269        -2.592        -2.307    0.482    4.7    0.278    2.810    0.555    0    0    196
19.108        -2.965        -2.681    1.031    11.5    0.683    1.956    0.102    0    0    198
16.471        -2.394        -2.109    1.753    66.4    3.951    2.282    0.306    1    0    200
17.857        -2.722        -2.437    0.463    3.2    0.189    1.478    0.216    0    0    211
17.588        -2.664        -2.379    1.095    15.4    0.919    1.368    0.365    0    0    214
17.483        -2.641        -2.356    0.886    11.0    0.652    1.709    0.463    0    0    220
17.305        -2.600        -2.316    1.812    89.1    5.306    2.528    0.381    1    0    226
17.572        -2.660        -2.376    1.582    51.4    3.058    0.783    0.375    1    0    239
17.040        -2.538        -2.254    0.063    1.4    0.085    1.328    0.248    0    0    257
16.762        -2.470        -2.185    1.183    20.7    1.232    1.551    0.427    0    0    273
17.236        -2.585        -2.300    2.236    156.6    9.323    2.512    0.173    1    0    277
16.574        -2.422        -2.137    1.225    17.3    1.031    1.492    0.088    0    0    279
18.695        -2.889        -2.604    1.749    57.1    3.399    2.303    0.225    0    0    287
18.387        -2.829        -2.545    1.730    67.9    4.040    1.644    0.383    1    0    294
18.111        -2.774        -2.489    0.850    8.1    0.479    2.102    0.282    0    0    312
19.077        -2.960        -2.675    1.484    43.0    2.559    1.926    0.437    0    0    322
19.123        -2.968        -2.683    1.151    18.8    1.117    1.713    0.339    0    0    346
19.300        -3.000        -2.715    1.073    13.0    0.775    1.517    0.482    0    0    352
16.603        -2.429        -2.144    0.989    15.7    0.936    1.500    0.634    0    0    355
18.005        -2.753        -2.468    1.157    16.8    0.997    1.303    0.213    0    0    355
18.953        -2.937        -2.652    0.204    1.8    0.110    1.974    0.208    0    0    374
16.839        -2.489        -2.205    1.051    15.6    0.931    1.412    0.522    0    0    382
18.079        -2.768        -2.483    1.422    28.9    1.722    0.856    0.120    0    0    392
18.538        -2.859        -2.574    1.891    87.4    5.200    2.942    0.168    1    0    393
18.079        -2.768        -2.483    0.257    2.7    0.161    0.586    0.518    0    0    412
17.129        -2.560        -2.275    1.267    19.4    1.156    2.171    0.102    0    0    413
19.025        -2.950        -2.666    1.657    55.3    3.290    0.953    0.257    0    0    414
18.621        -2.875        -2.590    0.234    2.1    0.123    0.730    0.249    0    0    439
17.389        -2.620        -2.335    1.702    67.8    4.033    0.995    0.357    1    0    451
19.037        -2.952        -2.668    1.070    15.5    0.921    1.777    0.383    0    0    458
18.705        -2.891        -2.606    1.287    21.5    1.282    2.054    0.128    0    0    498
18.878        -2.923        -2.639    1.762    91.4    5.440    2.732    0.621    1    0    500
17.113        -2.556        -2.271    1.732    91.9    5.469    1.087    0.711    1    0    503
18.737        -2.897        -2.612    1.433    43.3    2.577    2.049    0.608    0    0    530
19.169        -2.976        -2.692    1.248    20.6    1.226    0.827    0.206    0    0    549
16.616        -2.432        -2.148    1.189    18.2    1.082    2.449    0.290    0    0    552
18.845        -2.917        -2.632    0.266    2.4    0.145    1.850    0.450    0    0    572
18.938        -2.934        -2.650    1.278    32.0    1.902    0.461    0.724    0    0    572
19.085        -2.961        -2.677    0.835    11.9    0.707    0.248    0.747    0    0    601
17.903        -2.731        -2.447    0.387    3.0    0.178    1.434    0.278    0    0    615
18.443        -2.840        -2.556    1.311    20.0    1.188    0.853    0.596    0    0    643
18.469        -2.845        -2.561    1.514    38.2    2.277    1.339    0.185    0    0    650
18.564        -2.864        -2.579    0.834    10.8    0.645    0.541    0.604    0    0    654
18.471        -2.846        -2.561    1.362    31.1    1.851    0.970    0.376    0    0    663
19.258        -2.992        -2.708    0.906    6.3    0.373    0.634    0.216    0    0    667
16.350        -2.361        -2.076    0.581    6.3    0.377    2.031    0.682    0    0    717
19.180        -2.978        -2.694    1.032    16.0    0.952    1.182    0.588    0    0    736
19.048        -2.955        -2.670    1.807    82.3    4.901    1.507    0.321    1    0    750
19.339        -3.007        -2.722    2.055    129.5    7.709    1.235    0.192    1    0    758
18.147        -2.782        -2.497    1.888    97.8    5.824    1.394    0.284    1    0    765
15.242        -1.996        -1.711    0.894    8.7    0.516    0.960    0.242    0    0    788
17.839        -2.718        -2.433    1.247    27.9    1.660    1.563    0.591    0    0    859
14.958        -1.870        -1.585    2.012    100.2    5.966    2.190    0.337    1    0    873
18.973        -2.941        -2.656    2.107    105.7    6.291    2.215    0.130    1    0    880
17.782        -2.706        -2.421    1.743    79.5    4.734    1.763    0.458    1    0    922
18.921        -2.931        -2.646    1.007    10.9    0.649    0.584    0.614    0    0    927
18.839        -2.916        -2.631    1.348    9.7    0.577    1.187    0.171    0    0    938
18.465        -2.845        -2.560    1.766    60.2    3.583    2.076    0.046    1    0    938
19.095        -2.963        -2.678    1.828    49.5    2.949    2.633    0.358    0    0    946
18.345        -2.821        -2.536    0.877    9.2    0.545    2.205    0.290    0    0    949
14.954        -1.868        -1.583    1.032    12.9    0.766    1.644    0.259    1    0    960
17.972        -2.746        -2.461    1.617    56.6    3.370    2.057    0.706    1    0    961
17.693        -2.687        -2.402    1.859    121.1    7.210    2.204    0.693    1    0    963
17.974        -2.746        -2.461    0.869    5.7    0.342    0.709    0.096    0    0    965
18.832        -2.915        -2.630    1.147    17.9    1.066    2.403    0.324    0    0    988
18.719        -2.893        -2.609    1.217    30.8    1.833    2.322    0.882    0    0    1011
19.129        -2.969        -2.685    1.323    23.3    1.388    2.488    0.287    0    0    1015
16.096        -2.288        -2.004    1.666    56.1    3.342    1.602    0.223    1    0    1028
18.068        -2.765        -2.481    1.214    29.9    1.783    2.491    0.854    0    0    1057
17.293        -2.598        -2.313    1.171    24.0    1.431    1.585    0.681    0    0    1070
19.319        -3.003        -2.719    0.792    9.0    0.538    1.276    0.475    0    0    1089
16.502        -2.402        -2.118    0.736    7.4    0.441    1.550    0.426    0    0    1093
15.545        -2.213        -1.643    0.889    12.2    0.837    2.867    0.590    1    1    48
18.941        -2.990        -2.420    0.339    3.0    0.204    2.691    0.385    0    1    77
18.762        -2.958        -2.388    1.103    14.6    0.997    1.042    0.192    1    1    79
18.200        -2.853        -2.283    1.760    92.4    6.334    1.905    0.673    1    1    81
18.722        -2.951        -2.381    1.674    68.0    4.661    1.141    0.462    1    1    83
18.943        -2.991        -2.421    1.307    25.5    1.745    1.341    0.311    1    1    99
17.256        -2.658        -2.088    1.657    12.5    0.859    1.315    0.232    1    1    145
17.170        -2.639        -2.069    0.625    6.0    0.408    0.065    0.423    0    1    150
18.907        -2.984        -2.414    1.719    58.6    4.016    2.289    0.133    1    1    163
18.305        -2.873        -2.303    0.930    11.2    0.771    1.525    0.365    1    1    192
18.940        -2.990        -2.420    1.184    17.7    1.215    1.453    0.342    1    1    200
17.394        -2.688        -2.118    1.874    112.4    7.701    2.358    0.513    1    1    234
17.877        -2.789        -2.219    0.134    1.7    0.118    2.833    0.517    0    1    270
18.375        -2.886        -2.316    0.594    5.1    0.352    1.975    0.322    0    1    277
18.604        -2.929        -2.359    1.074    14.1    0.964    2.386    0.193    1    1    312
16.871        -2.571        -2.001    1.280    22.2    1.522    1.281    0.194    1    1    323
18.098        -2.833        -2.263    2.044    118.3    8.111    2.659    0.083    1    1    331
17.810        -2.775        -2.205    1.058    17.0    1.165    2.713    0.504    1    1    345
17.540        -2.719        -2.149    1.417    29.0    1.990    0.960    0.355    1    1    369
17.110        -2.626        -2.056    0.799    8.1    0.555    0.483    0.313    1    1    383
17.612        -2.735        -2.164    1.464    44.7    3.063    0.626    0.549    1    1    392
17.916        -2.797        -2.227    1.811    95.2    6.525    1.828    0.489    1    1    394
17.298        -2.667        -2.097    1.159    19.3    1.322    1.678    0.361    1    1    398
17.417        -2.693        -2.123    1.689    58.9    4.035    1.383    0.322    1    1    399
18.306        -2.873        -2.303    1.288    23.1    1.583    1.173    0.204    1    1    408
18.817        -2.968        -2.398    1.953    144.5    9.904    0.670    0.618    0    1    414
17.883        -2.790        -2.220    1.534    46.0    3.155    2.397    0.462    1    1    485
17.788        -2.771        -2.201    1.033    19.6    1.346    1.424    0.861    1    1    512
18.921        -2.987        -2.417    1.613    47.9    3.284    1.664    0.338    1    1    522
18.719        -2.950        -2.380    0.872    9.6    0.659    1.894    0.368    0    1    527
17.889        -2.791        -2.221    1.981    89.3    6.122    0.924    0.053    1    1    532
17.883        -2.790        -2.220    0.168    1.8    0.124    1.012    0.284    0    1    574
18.117        -2.837        -2.267    0.892    10.9    0.747    1.622    0.410    1    1    627
17.694        -2.751        -2.181    1.263    31.0    2.122    1.409    0.705    1    1    672
18.569        -2.923        -2.353    0.437    3.7    0.251    1.305    0.358    0    1    703
18.787        -2.963        -2.393    1.678    49.2    3.374    2.583    0.237    1    1    721
17.440        -2.698        -2.128    1.057    20.9    1.430    2.074    0.856    1    1    753
18.669        -2.941        -2.371    1.369    31.8    2.181    1.528    0.385    1    1    754
18.729        -2.952        -2.382    1.468    31.4    2.154    1.816    0.088    1    1    842
17.968        -2.807        -2.237    2.067    111.4    7.639    1.641    0.293    1    1    859
17.179        -2.641        -2.071    1.104    14.5    0.991    0.775    0.146    1    1    864
17.622        -2.737        -2.166    1.052    17.2    1.175    0.858    0.573    1    1    896
18.667        -2.941        -2.371    0.864    6.3    0.429    1.541    0.085    0    1    897
18.191        -2.851        -2.281    0.074    1.4    0.094    2.356    0.175    0    1    939
16.885        -2.574        -2.004    1.119    17.8    1.223    1.949    0.388    1    1    978
18.232        -2.859        -2.289    0.739    6.1    0.420    0.669    0.190    0    1    998
16.568        -2.498        -1.928    0.881    10.1    0.690    1.537    0.344    1    1    1030
16.811        -2.557        -1.987    1.584    60.5    4.146    0.829    0.589    1    1    1032
15.541        -2.212        -1.642    1.215    13.0    0.893    1.085    0.343    1    1    1049
16.571        -2.499        -1.929    1.634    28.2    1.936    2.186    0.121    1    1    1086
19.295        -3.009        -2.310    1.117    17.9    2.329    0.856    0.408    1    2    0
18.634        -2.903        -2.204    1.954    116.1    15.138    1.031    0.367    0    2    39
15.168        -2.364        -1.665    1.285    22.0    2.866    2.124    0.228    1    2    100
18.066        -2.813        -2.114    1.052    2.1    0.268    1.496    0.212    0    2    108
19.155        -2.987        -2.288    0.948    11.2    1.460    0.514    0.329    1    2    167
18.696        -2.913        -2.214    0.014    1.3    0.164    1.760    0.232    0    2    200
18.618        -2.901        -2.202    1.464    33.8    4.412    1.051    0.174    1    2    214
16.638        -2.589        -1.890    1.635    61.1    7.965    2.775    0.508    1    2    321
18.572        -2.893        -2.194    1.749    84.0    10.946    0.628    0.506    0    2    408
18.864        -2.940        -2.241    1.255    23.5    3.059    0.938    0.321    1    2    422
18.649        -2.905        -2.207    1.832    60.3    7.858    1.886    0.432    1    2    482
19.235        -3.000        -2.301    2.069    153.2    19.972    2.539    0.528    0    2    520
18.510        -2.883        -2.184    0.883    11.8    1.538    2.564    0.685    1    2    571
19.261        -3.004        -2.305    1.128    16.5    2.155    0.470    0.238    1    2    592
15.506        -2.415        -1.716    1.194    19.8    2.585    1.710    0.294    1    2    610
15.675        -2.441        -1.742    1.463    35.3    4.608    2.725    0.221    1    2    633
18.533        -2.887        -2.188    1.393    35.4    4.612    1.463    0.490    1    2    649
14.158        -2.212        -1.513    1.682    69.6    9.068    1.720    0.465    1    2    679
15.513        -2.417        -1.718    1.040    14.8    1.928    1.293    0.383    1    2    714
18.852        -2.938        -2.239    1.242    18.5    2.415    1.279    0.242    1    2    801
14.453        -2.257        -1.558    1.977    42.8    5.584    2.184    0.436    1    2    804
16.440        -2.559        -1.860    1.010    12.3    1.609    0.900    0.234    1    2    981
17.196        -2.676        -1.977    1.314    37.4    4.878    1.334    0.864    1    2    1061
18.598        -2.897        -2.198    1.162    16.7    2.174    1.379    0.417    1    2    1066
17.465        -2.718        -2.019    1.301    20.0    2.604    1.664    0.301    1    2    1074
17.846        -2.778        -2.079    0.900    9.6    1.255    2.814    0.331    1    2    1085
16.334        -2.689        -1.828    1.705    79.8    3.782    1.513    0.585    1    3    114
14.625        -2.188        -1.326    1.223    18.8    0.892    1.778    0.245    1    3    387
